  Step: 341ms | Tot: 16s476ms | Loss: 1.857 | Acc: 28.912% (14456/50000)         391/391
  Step: 15ms | Tot: 1s618ms | Loss: 1.610 | Acc: 40.040% (4004/10000)            100/100
  Step: 44ms | Tot: 16s645ms | Loss: 1.481 | Acc: 45.200% (22600/50000)          391/391
  Step: 16ms | Tot: 1s595ms | Loss: 1.347 | Acc: 50.600% (5060/10000)            100/100
  Step: 42ms | Tot: 16s486ms | Loss: 1.275 | Acc: 53.754% (26877/50000)          391/391
  Step: 15ms | Tot: 1s648ms | Loss: 1.206 | Acc: 56.500% (5650/10000)            100/100
  Step: 40ms | Tot: 16s424ms | Loss: 1.110 | Acc: 59.984% (29992/50000)          391/391
  Step: 15ms | Tot: 1s607ms | Loss: 1.076 | Acc: 61.740% (6174/10000)            100/100
  Step: 43ms | Tot: 16s600ms | Loss: 0.979 | Acc: 65.034% (32517/50000)          391/391
  Step: 15ms | Tot: 1s610ms | Loss: 0.864 | Acc: 69.380% (6938/10000)            100/100
  Step: 40ms | Tot: 15s994ms | Loss: 0.871 | Acc: 69.306% (34653/50000)          391/391
  Step: 16ms | Tot: 1s682ms | Loss: 0.853 | Acc: 70.590% (7059/10000)            100/100
  Step: 41ms | Tot: 16s609ms | Loss: 0.781 | Acc: 72.490% (36245/50000)          391/391
  Step: 15ms | Tot: 1s599ms | Loss: 0.741 | Acc: 74.130% (7413/10000)            100/100
  Step: 39ms | Tot: 16s475ms | Loss: 0.725 | Acc: 74.726% (37363/50000)          391/391
  Step: 15ms | Tot: 1s644ms | Loss: 0.741 | Acc: 74.220% (7422/10000)            100/100
  Step: 41ms | Tot: 16s508ms | Loss: 0.668 | Acc: 76.736% (38368/50000)          391/391
  Step: 16ms | Tot: 1s685ms | Loss: 0.670 | Acc: 76.990% (7699/10000)            100/100
  Step: 42ms | Tot: 16s539ms | Loss: 0.629 | Acc: 78.240% (39120/50000)          391/391
  Step: 16ms | Tot: 1s649ms | Loss: 0.608 | Acc: 79.190% (7919/10000)            100/100

Training + Testing time = 3.1768731474876404 minutes  Step: 326ms | Tot: 16s544ms | Loss: 1.907 | Acc: 26.338% (13169/50000)         391/391
  Step: 15ms | Tot: 1s698ms | Loss: 1.607 | Acc: 39.590% (3959/10000)            100/100
  Step: 45ms | Tot: 17s104ms | Loss: 1.517 | Acc: 43.326% (21663/50000)          391/391
  Step: 16ms | Tot: 1s632ms | Loss: 1.371 | Acc: 49.700% (4970/10000)            100/100
  Step: 46ms | Tot: 16s215ms | Loss: 1.266 | Acc: 53.868% (26934/50000)          391/391
  Step: 15ms | Tot: 1s582ms | Loss: 1.124 | Acc: 58.550% (5855/10000)            100/100
  Step: 41ms | Tot: 16s507ms | Loss: 1.104 | Acc: 60.212% (30106/50000)          391/391
  Step: 15ms | Tot: 1s670ms | Loss: 1.000 | Acc: 63.820% (6382/10000)            100/100
  Step: 43ms | Tot: 16s659ms | Loss: 0.971 | Acc: 65.162% (32581/50000)          391/391
  Step: 16ms | Tot: 1s616ms | Loss: 0.885 | Acc: 68.550% (6855/10000)            100/100
  Step: 45ms | Tot: 16s553ms | Loss: 0.874 | Acc: 68.936% (34468/50000)          391/391
  Step: 15ms | Tot: 1s659ms | Loss: 0.832 | Acc: 70.740% (7074/10000)            100/100
  Step: 41ms | Tot: 16s562ms | Loss: 0.783 | Acc: 72.348% (36174/50000)          391/391
  Step: 15ms | Tot: 1s626ms | Loss: 0.742 | Acc: 74.290% (7429/10000)            100/100
  Step: 44ms | Tot: 16s624ms | Loss: 0.716 | Acc: 74.918% (37459/50000)          391/391
  Step: 16ms | Tot: 1s638ms | Loss: 0.672 | Acc: 76.660% (7666/10000)            100/100
  Step: 40ms | Tot: 16s626ms | Loss: 0.664 | Acc: 76.846% (38423/50000)          391/391
  Step: 15ms | Tot: 1s677ms | Loss: 0.683 | Acc: 76.600% (7660/10000)            100/100
  Step: 42ms | Tot: 16s802ms | Loss: 0.619 | Acc: 78.452% (39226/50000)          391/391
  Step: 15ms | Tot: 1s637ms | Loss: 0.602 | Acc: 79.460% (7946/10000)            100/100

Training + Testing time = 3.2073554515838625 minutes
